,node1,node2,relation
167,Moreno,Establishment Challenge,Faces
168,Melania Trump,Ohio,’s
169,Moreno,S Beach,Faces Establishment Challenge In
170,Moreno,Democratic Incumbent,would face
171,Moreno,Sherrod Brown,would face
172,Cartel Member,Chicago,was let according
173,Todd,Accuracy,Seeks
174,Todd,Culture Of,Seeks Accuracy In
175,Hollywood,Hebrew Helper,’s
176,Leo Varadkar,Pm,also made history as
177,Pm,Abc News,giving
178,Fine Gael,Ireland,will step down before
179,Fine Gael,General Election,will step down before
180,General Election,Ireland,is in
181,Lgbtq,Western Sanctions,face
182,Patients,Long Wait,face
183,Patients,Nhs,face
184,Homophobia,Cancer Risk,can increase
185,Homophobia,Lgbtq,can increase cancer risk in
186,Queer,Minority Stress,frequently experience
187,Queer,Health Care Settings,frequently experience minority stress in
188,Queer,Cancer Risk,leading to
189,Ireland,Leo Varadkar,'s minister is
190,Ireland,Ireland'S Prime Minister,has
191,Lesbian News,Federal Discrimination Lawsuit,settles
192,Lesbian News,Maine District,settles discrimination lawsuit with
193,Lesbian News,Lawsuit,settles
194,Education Teacher,Lawsuit,has settled
195,Education Teacher,Maine,is in
196,Eleven,Current Positions,have
197,Eleven,Joe Biden,have
198,Judge Shopping,Alabama,is in
199,Lesbian News,Appeals Court,confirmed as
200,Nicole Scherzinger,Appeals Court,confirmed as
201,Landmark Rights Case,Israel,is in
202,Labor Lawyer,Landmark Rights Case,won
203,Nicole Scherzinger,U.S. Aid,has
204,Oklahoma,Game Developer,are playing
205,Nicole Scherzinger,Senate Approval,won
206,Lawmakers,Alabama,is in
207,Fascists,Homosexual,Forbid
208,Fascists,Word Verboten,have declared
209,Girls5Eva,Paula Pell,has
210,Girls5Eva,Trampage,has
211,Paula Pell,Gloria,in
212,Girls5Eva,Queer,hit with
213,Missing,Family ,opens up about
214,College Student,Family ,opens up about
215,Gay Bar,Russian,arrested in
216,Full Article,Russia,charges in
217,Anti-Lgbtq Bills,U.S. Aid,Committees in
218,Ghana,Anti-Gay Bill,blocked in
219,Ghana,Death Row,blocked in
220,Ramadan,Hamilton,is showing
221,Mamuka Mdinaradze,Georgia,leader of
222,Georgia,Parliament Majority,of
223,Nsw,Gay Conversion Therapy,bans
224,Nsw,Marathon Debate,bans conversion therapy after
225,Nex,School Fight,died after
226,Nex,Owasso High School,died after
227,Moscow,Lgbt,adds
228,Record Missile Barrage,Crackdown,Disrupts
229,Record,Crackdown,Disrupts
230,Record Missile Barrage,Ukraine,Disrupts
231,Record,Ukraine,Disrupts
232,Moscow,Extremist Groups,adds movement to
233,Ukraine,Scar,Portrait of
234,Moscow,Related,adds movement to
235,Tennessee,Foster Parents,would permit
236,White House,Ban On,Agrees To
237,White House,Spending Bill Deal,Agrees In
238,White House,Embassies,Agrees At
239,State Department,U.S. Aid,authorized
240,Pride Flags,Melania Trump,reversing
241,Russia,List A,to
242,Lgbt,Russia,added to
243,Financial Monitoring,Lgbt,include
244,Story Hour,Suspicious Package,canceled after
245,Biological Male,Game Developer,Accuses
246,Behaviour Interactive,Character,have found
247,Behaviour Interactive,Character  Transgender Vo,have found
248,Behaviour Interactive,Popular Online Survival Horror Game,developers behind
249,Years,Venice,will
250,Government Funding Bill,Pride Flags,bans U.S. embassies from
251,Government Funding Bill,U.S. Aid,bans
252,Evacuation Orders,Pennsylvania,Lifted Of
253,Evacuation Orders,Bomb Threats,Lifted Of
254,Dreams,Bollywood,Queen of is
255,Fawzia Mirza,Bollywood,is
256,Fawzia Mirza,Dreams,has
257,Joe Biden,Months,Concerns After
258,Bipartisan,Pride Flags,includes
259,Bipartisan,Ban On,includes
260,Russia,List A,adds movement to
261,Russia,Lgbt,adds
262,Russia,Extremist Groups,adds movement to
263,Russia,Lgbt,adds
264,Russian,Bank Card,freeze
265,Final,Indigenous Heritage,is in
266,Benedict Xvi,U.S. Aid,prompted
267,Benedict Xvi,Los Angeles,prompted
268,Embassies,Anti-Gay Bill,Banned By
269,Embassies,Lgbtq,Banned From
270,Embassies,Dei,Banned From
271,New Orleans,Religious Discrimination,Live finds
272,Transgender,Old Girl,sent for
273,Trans,Movie Love,is
274,Npr,Recent Cases,speaks
275,Npr,Kris Tassone,speaks with
276,Npr,National Center For Transgender Equality,speaks from
277,Npr,Andrew Scott,has
278,Npr,Pflag National,speaks from
279,Athletes,Dei,Could Upset March Madness Attacks On
280,Black,Dei,Could Upset March Madness Attacks On
281,Athletes,March,Could Upset
282,Black,March,Could Upset
283,Diversity,Heart Attack,are under
284,Black,Ncaa,is in
285,White House,York,birdwatching in
286,Christian Cooper,Abc News,made
287,York,Theme Park,in
288,Christian Cooper,May,made news in
289,Traitors,Goodbye Mum,say
290,Dragon Ball,Saudi Arabia,be
291,Tennessee State,Red And Blue States,teach LGBTQ history
292,Tennessee State,Lgbtq,teach
293,Elon Musk,Nonprofit Researchers,by
294,Elon Musk,X Corp,by
295,Judge Shopping,Center Stage,has dismissed lawsuit against
296,Judge Shopping,Digital,has dismissed lawsuit against
297,Judge Shopping,Elon Musk,has dismissed lawsuit by
298,Transgender Women,Female Categories,competing in
299,Russia,Heart Attack,is still reeling from
300,Anti-Gay Bill,Caucasus,government of
301,Anti-Lgbt Propaganda Bill,Caucasus,government of
302,Ex-Levi,Xx Xy,Launches
303,Xx Xy,S Beach,Protect
304,Jennifer Sey,Clothing Brand,is launching
305,Australia,Aids Epidemic,of
306,Dutch,Transgender Women,quit
307,Darts Players,U.S. Women’S National Team,quit
308,Dutch,U.S. Women’S National Team,quit
309,Darts Players,Transgender Women,quit
310,Dutch,Team,has
311,Abortions,U.S,is in
312,Roe,Guttmacher Institute,report from
313,Wade,New Orleans,v. Roe is
314,Lawsuit,Ohio,filed against
315,Ohio,Anti-Gay Bill,against
316,Texas,Pflag National,was blocked from
317,Police,Racial Harassment,investigating
318,Police,Idaho,investigating
319,Ncaa,Team,of
320,Racial Harassment,Idaho,is in
321,Police,Ncaa,investigating
322,Ncaa,Spokane,is in
323,Republicans,Recent Cases,would back
324,White House,Republican Ohio,calls
325,White House,Ban On,calls
326,Republican Ohio,Pride Flags,’s
327,Texas,Ken Paxton,blocks
328,Ken Paxton,Transgender Youth Support,has
329,Ken Paxton,Texas,court in
330,Pflag National,Texas,turn over
331,Lgbtq,America,is in
332,Thailand,Sex Marriage Bill,moves to
333,Thailand,Plural Marriage,moves to
334,Thailand,Lower House,has
335,New Orleans,High Level,shows
336,High Level,Public Religion Research Institute,survey from
337,Southeast Asia,Liberal Democrat,of
338,Thailand,Sex Marriage Bill,approved
339,Sex Marriage Bill,Thai,overwhelmingly passes
340,Lawmakers,Thailand,is in
341,Sex Marriage Bill,Thailand,Lawmakers in
342,Lawmakers,Sex Marriage Bill,approved
343,Lawmakers,Sex Marriage Bill,pass
344,Senate Approval,Lower House,passed in
345,Senate Approval,King  Endorsement,bill
346,Sacramento,Transgender,declares
347,Sacramento,Sanctuary City,declares
348,Sacramento City Council,Sanctuary City,declare
349,Sacramento City Council,Southern California,declare
350,Sacramento City Council,Transgender,declare
351,Thailand,Lgbtq,pass
352,Thailand,Laws,to
353,Sacramento,Sanctuary City,is
354,Sacramento,Transgender,is now city for
