,ent_name,ent_link,ent_class,ent_conf
66,LGBT rights in Russia,http://dbpedia.org/resource/LGBT_rights_in_Russia,,-0.669
67,BBC show,http://dbpedia.org/resource/Later..._with_Jools_Holland,,-0.7021428571428572
68,corrections officer,http://dbpedia.org/resource/Prison_officer,owl:Thing,-0.74
69,Georgia,http://dbpedia.org/resource/Georgia_(U.S._state),dbpedia-owl:PopulatedPlace,-0.66
70,transgender man,http://dbpedia.org/resource/Trans_man,dbpedia-owl:Person,0.5291904761904762
71,hostile work environment,http://dbpedia.org/resource/Hostile_work_environment,owl:Thing,-0.7166666666666667
72,U.S. Court of Appeals for the 11th Circuit,http://dbpedia.org/resource/United_States_Court_of_Appeals_for_the_Eleventh_Circuit,,-0.6723333333333333
73,Kanye West,http://dbpedia.org/resource/Kanye_West,dbpedia-owl:Person,0.59
74,Accused Of,http://dbpedia.org/resource/Lesbian,owl:Thing,-0.7021428571428504
75,Behavior,http://dbpedia.org/resource/Behavior,,-0.85
76,Lawsuit,http://dbpedia.org/resource/Lawsuit,owl:Thing,-0.7
77,Employee,http://dbpedia.org/resource/Employment,dbpedia-owl:Person,-0.73
78,of Hitler,http://dbpedia.org/resource/Adolf_Hitler,dbpedia-owl:Person,0.6165591397849464
79,roller derby,http://dbpedia.org/resource/Roller_derby,,-0.615
80,Long Island Roller Rebels,http://dbpedia.org/resource/Long_Island_Roller_Rebels,owl:Thing,-0.53
81,executive order,http://dbpedia.org/resource/Executive_order,owl:Thing,-0.78
82,Montreal,http://dbpedia.org/resource/Montreal,dbpedia-owl:PopulatedPlace,0.57
83,Toronto,http://dbpedia.org/resource/Toronto,dbpedia-owl:PopulatedPlace,0.61
84,Queen,http://dbpedia.org/resource/Queen_(band),dbpedia-owl:Organisation|dbpedia-owl:Person,-0.79
85,Bollywood,http://dbpedia.org/resource/Bollywood,,-0.61
86,Nimra Bucha,http://dbpedia.org/resource/Nimra_Bucha,dbpedia-owl:Person,0.895
87,Azra,http://dbpedia.org/resource/Azra,dbpedia-owl:Organisation,-0.6666666666666669
88,coming of age,http://dbpedia.org/resource/Coming_of_age,owl:Thing,-0.84
89,NAIA,http://dbpedia.org/resource/National_Association_of_Intercollegiate_Athletics,dbpedia-owl:Organisation|dbpedia-owl:Person,-0.63
90,America,http://dbpedia.org/resource/United_States,dbpedia-owl:PopulatedPlace,0.5700000000000006
91,Oklahoma,http://dbpedia.org/resource/Oklahoma,dbpedia-owl:PopulatedPlace,0.5507692307692308
92,White House,http://dbpedia.org/resource/White_House,,-0.67
93,Pride flags,http://dbpedia.org/resource/Rainbow_flag_(LGBT_movement),owl:Thing,-0.6938095238095239
94,The Advocate,http://dbpedia.org/resource/The_Advocate,,-0.71
95,Jake Shears,http://dbpedia.org/resource/Jake_Shears,dbpedia-owl:Person,0.625
96,Channel,http://dbpedia.org/resource/English_Channel,dbpedia-owl:Person,-0.8485980434830389
97,Southeast Asia,http://dbpedia.org/resource/Southeast_Asia,dbpedia-owl:PopulatedPlace|dbpedia-owl:Person,-0.7571411483253588
98,list a,http://dbpedia.org/resource/List_A_cricket,owl:Thing,-0.705
99,NHS,http://dbpedia.org/resource/National_Health_Service,dbpedia-owl:Organisation,-0.7592307692307692
100,Far-Left,http://dbpedia.org/resource/Far-left_politics,owl:Thing,-0.83
101,Chicago,http://dbpedia.org/resource/Chicago,dbpedia-owl:PopulatedPlace,0.61
102,Iran,http://dbpedia.org/resource/Iran,dbpedia-owl:PopulatedPlace,0.62
103,anti-Israel,http://dbpedia.org/resource/Criticism_of_the_Israeli_government,owl:Thing,-0.8556888888888889
104,U.S. aid,http://dbpedia.org/resource/United_States_Agency_for_International_Development,dbpedia-owl:Organisation,-0.6707142857142856
105,to Israel,http://dbpedia.org/resource/Aliyah,,-0.7361428571428504
106,massive attack,http://dbpedia.org/resource/Massive_Attack,dbpedia-owl:Organisation|dbpedia-owl:Person,0.53
107,Republican Ohio,http://dbpedia.org/resource/Ohio_Republican_Party,dbpedia-owl:Organisation,0.75
108,LGBTQ-friendly,http://dbpedia.org/resource/Gay-friendly,,-0.775
109,Tennessee state,http://dbpedia.org/resource/Tennessee_State_University,dbpedia-owl:Organisation,-0.7517142857142858
110,J.K. Rowling,http://dbpedia.org/resource/J._K._Rowling,dbpedia-owl:Person,0.8075
111,Nazis,http://dbpedia.org/resource/Nazism,dbpedia-owl:Person,-0.69
112,social media,http://dbpedia.org/resource/Social_media,,-0.78
113,Germany’s,http://dbpedia.org/resource/German_Empire,dbpedia-owl:PopulatedPlace|dbpedia-owl:Person,-0.72
114,Nazi regime,http://dbpedia.org/resource/Nazi_Germany,dbpedia-owl:PopulatedPlace|dbpedia-owl:Person,-0.565
115,Hollywood,http://dbpedia.org/resource/Hollywood,dbpedia-owl:PopulatedPlace|dbpedia-owl:Person,-0.73
116,Embassies,http://dbpedia.org/resource/Diplomatic_mission,owl:Thing,-0.6716666666666666
117,State Department,http://dbpedia.org/resource/United_States_Department_of_State,dbpedia-owl:Organisation|dbpedia-owl:Person,-0.77
118,American Cancer Society,http://dbpedia.org/resource/American_Cancer_Society,dbpedia-owl:Organisation|dbpedia-owl:Person,0.67
119,minority stress,http://dbpedia.org/resource/Minority_stress,owl:Thing,-0.81
120,most challenged books,http://dbpedia.org/resource/Book_censorship,owl:Thing,-0.735
121,American Library Association,http://dbpedia.org/resource/American_Library_Association,dbpedia-owl:Organisation|dbpedia-owl:Person,0.6325
122,Navy,http://dbpedia.org/resource/United_States_Navy,dbpedia-owl:Organisation,-0.7
123,Duval County Public Schools,http://dbpedia.org/resource/Duval_County_Public_Schools,owl:Thing,-0.509788887906401
124,Melody,http://dbpedia.org/resource/Melody,dbpedia-owl:Person,-0.75
125,far-right,http://dbpedia.org/resource/Far-right_politics,dbpedia-owl:Person,-0.73
126,Granderson,http://dbpedia.org/resource/Curtis_Granderson,dbpedia-owl:Person,0.5983333333333334
127,Missouri,http://dbpedia.org/resource/Missouri,dbpedia-owl:PopulatedPlace,-0.65
128,Gender Queer,http://dbpedia.org/resource/Genderqueer,owl:Thing,-0.5971428571428571
129,partial government shutdown,http://dbpedia.org/resource/United_States_federal_government_shutdown_of_2013,owl:Thing,-0.7666666666666667
130,Gallup poll,http://dbpedia.org/resource/Gallup_(company),dbpedia-owl:Organisation,-0.5
131,Olivia Colman,http://dbpedia.org/resource/Olivia_Colman,dbpedia-owl:Person,0.7216666666666666
132,Netball,http://dbpedia.org/resource/Netball,,-0.6166666666666667
133,Loreen,http://dbpedia.org/resource/Loreen_(singer),dbpedia-owl:Person,-0.809788887906401
134,Jessie J,http://dbpedia.org/resource/Jessie_J,dbpedia-owl:Person,-0.575
135,Manchester Pride,http://dbpedia.org/resource/Manchester_Pride,owl:Thing,-0.58
136,Paris,http://dbpedia.org/resource/Paris,dbpedia-owl:PopulatedPlace,-0.53
137,Tamara de Lempicka,http://dbpedia.org/resource/Tamara_de_Lempicka,dbpedia-owl:Person,0.8908333333333333
138,modernist art,http://dbpedia.org/resource/Modern_art,owl:Thing,-0.869788887906401
139,Europe,http://dbpedia.org/resource/Europe,dbpedia-owl:PopulatedPlace|dbpedia-owl:Person,0.52
140,Florida GOP,http://dbpedia.org/resource/Republican_Party_of_Florida,owl:Thing,0.5181904761904762
141,theme park,http://dbpedia.org/resource/Amusement_park,dbpedia-owl:Person,-0.56
142,Saudi Arabia,http://dbpedia.org/resource/Saudi_Arabia,dbpedia-owl:PopulatedPlace,0.67
143,Laura Jane Grace,http://dbpedia.org/resource/Laura_Jane_Grace,dbpedia-owl:Person,0.8691666666666666
