,ent_link,news_id,cluster,ent_name,assigned_cluster,news_links,news_count
27,http://dbpedia.org/resource/Australia,"122,29","[2, 4]",Australia,2,"https://www.abc.net.au/news/2024-03-25/federal-parliament-live-updates-march-25/103626402, https://www.abc.net.au/news/2024-03-17/compass-sheikh-shadi-the-home-grown-iman/103585594",2
28,http://dbpedia.org/resource/Australia_Calls_(1913_film),98,[2],Australia Calls,2,https://www.abc.net.au/news/2024-03-22/nsw-laws-banning-gay-conversion-therapy-pass-parliament/103618786,1
29,http://dbpedia.org/resource/Australian_Aboriginal_culture,10,[0],Indigenous Heritage,0,https://www.advocate.com/news/nex-benedict-drugs-toxicology-experts,1
30,http://dbpedia.org/resource/Azra,112,[3],Azra,3,https://www.cbc.ca/radio/day6/the-queen-of-my-dreams-1.7152878,1
31,http://dbpedia.org/resource/BBC,"132,168,347,218","[6, 7, 4, 8]",Bbc,6,"https://www.bbc.co.uk/sport/68564019, https://www.bbc.co.uk/news/newsbeat-68664632, https://www.bbc.co.uk/news/uk-politics-68796369, https://www.bbc.co.uk/news/av/uk-scotland-68688133",4
32,http://dbpedia.org/resource/Bachelor's_degree,285,[4],Bachelor’S Degree,4,https://www.naturalnews.com/2024-04-08-lgbtq-activist-arrested-possession-child-abuse-material.html,1
33,http://dbpedia.org/resource/Baltimore,163,[0],Baltimore,0,https://www.npr.org/2024/03/28/1241367201/up-first-newsletter-baltimore-bridge-timeline-disney-desantis-settlement,1
34,http://dbpedia.org/resource/Ban_On,51,[6],Ban On,6,https://www.breitbart.com/sports/2024/03/18/minnesota-appeals-court-affirms-state-law-preventing-ban-trans-athletes/,1
35,http://dbpedia.org/resource/Barack_Obama,184,[2],President Barack Obama,2,https://www.naturalnews.com/2024-03-29-biden-white-house-attacks-republicans-pride-flags.html,1
36,"http://dbpedia.org/resource/Baton_Rouge,_Louisiana",310,[2],Baton Rouge,2,https://www.advocate.com/politics/dont-say-gay-bill-louisiana,1
37,http://dbpedia.org/resource/Behavior,240,[4],Behavior,4,https://www.forbes.com/sites/maryroeloffs/2024/04/02/kanye-west-accused-of-hitler-praising-and-racist-behavior-in-new-lawsuit-by-former-donda-academy-employee/,1
38,http://dbpedia.org/resource/Behaviour_Interactive,108,[8],Behaviour Interactive,8,https://www.breitbart.com/tech/2024/03/23/lgbt-community-melts-down-after-biological-male-voice-actor-accuses-game-developer-of-transphobia/,1
39,http://dbpedia.org/resource/Benjamin_Netanyahu,274,[1],Netanyahu,1,https://www.npr.org/2024/04/05/1242991224/up-first-newsletter-biden-netanyahu-us-policy-no-labels-2024-election,1
40,http://dbpedia.org/resource/Berlin,191,[3],Berlin,3,https://www.dw.com/en/graphic-novel-tells-the-stories-of-lgtbq-people-over-50/a-68682077,1
41,http://dbpedia.org/resource/Best_Buy,"257,176,238","[2, 2, 2]",Best Buy,2,"https://www.forbes.com/sites/soniathompson/2024/04/04/why-best-buy-decided-to-screen-donations-to-lgbtq-charities/, https://www.nbcnews.com/nbc-out/out-news/best-buy-offers-screen-lgbtq-nonprofit-donations-conservative-pressure-rcna145603, https://www.advocate.com/news/best-buy-lgbtq-donations-conservatives",3
42,"http://dbpedia.org/resource/Beverly_Hills,_California",7,[3],Beverly Hills,3,https://www.advocate.com/media/oprah-niecy-out-glaad-awards,1
43,http://dbpedia.org/resource/Bible,277,[7],Bible,7,https://www.advocate.com/history/king-james-bible-queer,1
44,http://dbpedia.org/resource/Billboard_200,182,[3],Billboard Top,3,https://www.forbes.com/sites/hughmcintyre/2024/03/29/jojo-siwas-new-single-hits-the-billboard-chartsand-its-not-even-out-yet/,1
45,http://dbpedia.org/resource/Billboard_charts,182,[3],Billboard Charts,3,https://www.forbes.com/sites/hughmcintyre/2024/03/29/jojo-siwas-new-single-hits-the-billboard-chartsand-its-not-even-out-yet/,1
46,http://dbpedia.org/resource/Birdwatching,127,[4],Birder,4,https://www.cbsnews.com/video/christian-cooper-the-extraordinary-birder/,1
47,http://dbpedia.org/resource/Blame,263,[4],Blames,4,https://www.breitbart.com/entertainment/2024/04/04/detransitioner-crashes-disney-shareholder-meeting-blames-company-for-her-body-being-irreversibly-damaged/,1
48,http://dbpedia.org/resource/Bloomberg_L.P.,"172,103","[1, 2]",Bloomberg,1,"https://finance.yahoo.com/news/grindr-gets-first-buy-rating-155302401.html, https://www.rt.com/news/594695-rainbow-flag-embassy-ban/",2
49,http://dbpedia.org/resource/Boeing,161,[3],Boeing,3,https://www.forbes.com/sites/juliekratz/2024/03/27/boeing-a-cautionary-tale-in-psychological-safety/,1
50,http://dbpedia.org/resource/Boise_State_University,179,[8],Boise State University,8,https://www.advocate.com/education/idaho-professor-hateful-website,1
51,http://dbpedia.org/resource/Bollywood,112,[3],Bollywood,3,https://www.cbc.ca/radio/day6/the-queen-of-my-dreams-1.7152878,1
52,http://dbpedia.org/resource/Bomb_threat,"46,111,330","[8, 4, 4]",Bomb Threats,4,"https://www.advocate.com/education/wisconsin-waukesha-libs-of-tiktok, https://www.forbes.com/sites/tylerroush/2024/03/23/evacuation-orders-lifted-after-series-of-bomb-threats-target-lancaster-pennsylvania/, https://www.advocate.com/news/tara-hoot-bomb-threats",3
53,http://dbpedia.org/resource/Book_censorship,294,[2],Most Challenged Books,2,https://www.nbcnews.com/nbc-out/out-news/banned-books-lgbtq-library-association-rcna146236,1
54,http://dbpedia.org/resource/Bookselling,24,[3],Bookstore,3,https://www.breitbart.com/politics/2024/03/17/arizona-bookstore-nixes-drag-show-palestine-event-after-backlash-they-should-this-palestine/,1
55,http://dbpedia.org/resource/Boycott,192,[1],Boycott,1,https://www.forbes.com/sites/jamesfarrell/2024/03/29/nine-eurovision-acts-call-for-israel-hamas-cease-fire-but-will-stop-short-of-boycott/,1
56,http://dbpedia.org/resource/Boyz_n_the_Hood,194,[3],Boyz N The Hood,3,https://www.forbes.com/sites/entertainment/article/best-drama-movies/,1
57,http://dbpedia.org/resource/Brigham_Young_University,49,[2],Byu,2,https://www.nbcnews.com/nbc-out/out-news/byu-freshmen-controversial-musket-fire-speech-mormon-lgbtq-utah-rcna143891,1
58,http://dbpedia.org/resource/British_Film_Institute,5,[3],The Bfi,3,https://www.nbcnews.com/news/us-news/elliot-page-lgbtq-cinema-m-sorry-not-niche-rcna143645,1
59,http://dbpedia.org/resource/Brussels,21,[1],Brussels,1,https://www.rt.com/news/594359-orban-hungary-eu-occupy/,1
60,http://dbpedia.org/resource/CBS,360,[3],Cbs,3,https://www.cbsnews.com/video/here-comes-the-sun-marcia-gay-harden-and-more/,1
61,http://dbpedia.org/resource/Caitlyn_Jenner,"58,308,211,41","[6, 9, 9, 6]",Caitlyn Jenner,6,"https://www.nbcnews.com/nbc-out/out-news/caitlyn-jenner-backs-ny-countys-ban-trans-women-competing-womens-sport-rcna143896, https://www.advocate.com/voices/pope-francis-transgender-people, https://www.breitbart.com/politics/2024/03/31/caitlyn-jenner-absolutely-disgusted-with-biden-over-transgender-day-of-visibility/, https://www.yahoo.com/news/former-olympian-caitlyn-jenner-backs-193051923.html",4
62,http://dbpedia.org/resource/California,"175,154,252,156,327,40,280,7","[5, 5, 8, 5, 5, 2, 4, 3]",Calif,5,"https://www.advocate.com/newsletter/3-28-2024, https://www.nbcnews.com/nbc-out/out-news/sacramento-sanctuary-city-transgender-people-rcna145287, https://www.advocate.com/news/chaya-raichik-doubletree-california, https://www.cbsnews.com/sacramento/news/sanctuary-city-transgenders-sacramento/, https://finance.yahoo.com/news/column-californias-transgender-sanctuary-law-100034789.html, https://www.advocate.com/california-school-board-recall-transphobia, https://www.advocate.com/obituaries/lesbian-news-ella-matthes-obituary, https://www.advocate.com/media/oprah-niecy-out-glaad-awards",8
