,title,description,url,source_name,news_id,text
12,Gov. Ron DeSantis' war on 'woke' appears to be losing steam in Florida,"A federal court recently blocked most of a key DeSantis measure, the Stop WOKE Act. Courts have ruled against a number of the governor's conservative initiatives.",https://www.npr.org/2024/03/15/1238272873/desantis-woke-dont-say-gay-florida-stop-woke,NPR,12,"Gov. Ron DeSantis' war on 'woke' appears to be losing steam in Florida. A federal court recently blocked most of a key DeSantis measure, the Stop WOKE Act. Courts have ruled against a number of the governor's conservative initiatives."
13,College swimmers and volleyball players sue NCAA over transgender policies,"Riley Gaines was among the college athletes who filed a lawsuit against the NCAA, accusing it of violating Title IX rights by allowing transgender swimmer Lia Thomas to compete.",https://www.nbcnews.com/news/us-news/college-swimmers-volleyball-players-sue-ncaa-transgender-policies-rcna143563,NBC News,13,"College swimmers and volleyball players sue NCAA over transgender policies. Riley Gaines was among the college athletes who filed a lawsuit against the NCAA, accusing it of violating Title IX rights by allowing transgender swimmer Lia Thomas to compete."
14,Things to know about developments impacting LGBTQ+ rights across the US,The rights of LGBTQ+ people continue to be in flux across the U.S. with a new flurry of developments,https://abcnews.go.com/US/wireStory/things-developments-impacting-lgbtq-rights-us-108158477,ABC News,14,Things to know about developments impacting LGBTQ+ rights across the US. The rights of LGBTQ+ people continue to be in flux across the U.S. with a new flurry of developments
15,Riley Gaines among athletes suing NCAA over transgender policies,The NCAA is accused of violating Title IX by allowing transgender athlete Lia Thomas to compete at the national championships in 2022.,https://www.cbsnews.com/news/riley-gaines-college-athletes-lawsuit-ncaa-transgender-policies/,CBS News,15,Riley Gaines among athletes suing NCAA over transgender policies. The NCAA is accused of violating Title IX by allowing transgender athlete Lia Thomas to compete at the national championships in 2022.
16,'Love Lies Bleeding' is the queer erotic thriller Kristen Stewart fans have wanted,"The movie Love Lies Bleeding is a fun and weird erotic thriller. It's set in the late 1980s and stars Kristen Stewart as a brooding gym manager who falls in love with a hitchhiking bodybuilder, played by Katy O'Brian. Directed by Rose Glass (Saint Maud), the …",https://www.npr.org/2024/03/15/1197962965/love-lies-bleeding-is-the-queer-erotic-thriller-kristen-stewart-fans-have-wanted,NPR,16,"'Love Lies Bleeding' is the queer erotic thriller Kristen Stewart fans have wanted. The movie Love Lies Bleeding is a fun and weird erotic thriller. It's set in the late 1980s and stars Kristen Stewart as a brooding gym manager who falls in love with a hitchhiking bodybuilder, played by Katy O'Brian. Directed by Rose Glass (Saint Maud), the …"
17,Riley Gaines: 'It's Time We Fight Back' Against NCAA's Trans Agenda,Women's sports advocate Riley Gaines has joined 15 other female athletes in a lawsuit against the NCAA over its transgender agenda.,https://www.breitbart.com/sports/2024/03/15/riley-gaines-its-time-we-fight-back-against-ncaas-trans-agenda/,Breitbart News,17,Riley Gaines: 'It's Time We Fight Back' Against NCAA's Trans Agenda. Women's sports advocate Riley Gaines has joined 15 other female athletes in a lawsuit against the NCAA over its transgender agenda.
18,"Former students, parents speak on anti-LGBTQ bullying at Nex Benedict's school","Nex Benedict's death has been ruled a suicide, shining a renewed spotlight on the intensifying environment in Oklahoma schools and anti-LGBTQ bullying.",https://abcnews.go.com/US/former-students-parents-speak-anti-lgbtq-bullying-nex/story?id=108151777,ABC News,18,"Former students, parents speak on anti-LGBTQ bullying at Nex Benedict's school. Nex Benedict's death has been ruled a suicide, shining a renewed spotlight on the intensifying environment in Oklahoma schools and anti-LGBTQ bullying."
19,More than a dozen athletes sue NCAA over their transgender participation policy,The lawsuit stems from an NCAA policy that allows transgender athletes to compete in the category of their affirmed gender on a sport-by-sport basis.,https://abcnews.go.com/US/dozen-female-athletes-sue-ncaa-transgender-participation-policy/story?id=108185214,ABC News,19,More than a dozen athletes sue NCAA over their transgender participation policy. The lawsuit stems from an NCAA policy that allows transgender athletes to compete in the category of their affirmed gender on a sport-by-sport basis.
20,Check out the lesbian wedding at the center of 'Anyone But You',The romcom Anyone But You stars Sydney Sweeney and Glenn Powell as star-crossed loves who initially can’t stand each other a la Much Ado About Nothing. But a lesbian wedding Down Under is the central event around which Sweeney’s Bea and Powell’s Ben orbit. Qu…,https://www.advocate.com/arts-entertainment/anyone-but-you-lesbian-wedding,Advocate.com,20,Check out the lesbian wedding at the center of 'Anyone But You'. The romcom Anyone But You stars Sydney Sweeney and Glenn Powell as star-crossed loves who initially can’t stand each other a la Much Ado About Nothing. But a lesbian wedding Down Under is the central event around which Sweeney’s Bea and Powell’s Ben orbit. Qu…
21,Hungary’s PM urges supporters to ‘occupy Brussels’,"The EU leadership should “start trembling,” Hungary’s aggrieved Prime Minister Viktor Orban tells crowd at event commemorating revolution Read Full Article at RT.com",https://www.rt.com/news/594359-orban-hungary-eu-occupy/,RT,21,"Hungary’s PM urges supporters to ‘occupy Brussels’. The EU leadership should “start trembling,” Hungary’s aggrieved Prime Minister Viktor Orban tells crowd at event commemorating revolution Read Full Article at RT.com"
22,Elliot Page: LGBTQQIAAP2S+-Themed Films Are Not 'Niche' Because 30% of Youth Identify as LGBTQQIAAP2S+,Transgender actor Elliot Page is blasting Hollywood producers who feel that queer films are not movies for a mainstream audience.,https://www.breitbart.com/entertainment/2024/03/17/elliot-page-lgbtqqiaap2s-themed-films-are-not-niche-because-30-of-youth-identify-as-lgbtqqiaap2s/,Breitbart News,22,Elliot Page: LGBTQQIAAP2S+-Themed Films Are Not 'Niche' Because 30% of Youth Identify as LGBTQQIAAP2S+. Transgender actor Elliot Page is blasting Hollywood producers who feel that queer films are not movies for a mainstream audience.
23,Inside one of London's LGBTQ-friendly fitness classes,Ryan Lanji runs sessions for people in the LGBT community who feel marginalised by mainstream gyms.,https://www.bbc.co.uk/news/av/uk-england-london-68565803,BBC News,23,Inside one of London's LGBTQ-friendly fitness classes. Ryan Lanji runs sessions for people in the LGBT community who feel marginalised by mainstream gyms.
24,Arizona Bookstore Nixes ‘Drag Show for Palestine’ Event After Backlash: ‘They Should Do This in Palestine’,"A bilingual Arizona bookstore canceled its family-friendly “Drag Show for Palestine” following backlash over the planned performance, with critics noting that drag shows — as well as any sort of LGBTQ expression — are strictly prohibited in Palestinian-contro…",https://www.breitbart.com/politics/2024/03/17/arizona-bookstore-nixes-drag-show-palestine-event-after-backlash-they-should-this-palestine/,Breitbart News,24,"Arizona Bookstore Nixes ‘Drag Show for Palestine’ Event After Backlash: ‘They Should Do This in Palestine’. A bilingual Arizona bookstore canceled its family-friendly “Drag Show for Palestine” following backlash over the planned performance, with critics noting that drag shows — as well as any sort of LGBTQ expression — are strictly prohibited in Palestinian-contro…"
25,Missing University of Missouri student Riley Strain's bank card discovered as search continues,"Authorities discovered a clue in the case of missing University of Missouri college student Riley Strain, Sunday, who vanished while visiting Nashville...",https://abcnews.go.com/US/missing-university-missouri-student-riley-strains-bank-card/story?id=108216437,ABC News,25,"Missing University of Missouri student Riley Strain's bank card discovered as search continues. Authorities discovered a clue in the case of missing University of Missouri college student Riley Strain, Sunday, who vanished while visiting Nashville..."
26,"The bomb scare, the police and the drag queen",How a picture of a drag queen on a police Land Rover came to represent Northern Ireland's gay community.,https://www.bbc.co.uk/news/uk-northern-ireland-68555287,BBC News,26,"The bomb scare, the police and the drag queen. How a picture of a drag queen on a police Land Rover came to represent Northern Ireland's gay community."
27,This women’s roller derby league is standing up for trans athletes by suing their county,A women's roller derby league in New York is suing their county over an ordinance that bans female sports teams with transgender athletes from using local facilities.,https://www.advocate.com/news/womens-roller-derby-ny-transgender,Advocate.com,27,This women’s roller derby league is standing up for trans athletes by suing their county. A women's roller derby league in New York is suing their county over an ordinance that bans female sports teams with transgender athletes from using local facilities.
28,Colorado May Become First in Nation to Build Segregated Prison Cells for Transgender Inmates,The state of Colorado may soon have to accommodate transgender women in prison due to a lawsuit filed in 2019.,https://www.breitbart.com/crime/2024/03/17/colorado-may-become-first-in-nation-to-build-segregated-prison-cells-for-transgender-inmates/,Breitbart News,28,Colorado May Become First in Nation to Build Segregated Prison Cells for Transgender Inmates. The state of Colorado may soon have to accommodate transgender women in prison due to a lawsuit filed in 2019.
29,The Sydney sheikh on a mission to keep young Australian Muslims in the faith,Sheikh Shadi Asuleiman is Australia's first home-grown Imam and the changing face of Islam here.,https://www.abc.net.au/news/2024-03-17/compass-sheikh-shadi-the-home-grown-iman/103585594,ABC News (AU),29,The Sydney sheikh on a mission to keep young Australian Muslims in the faith. Sheikh Shadi Asuleiman is Australia's first home-grown Imam and the changing face of Islam here.
30,Kingston's storied Grad Club facing closure as Queen's hikes rent,It hosted some of The Tragically Hip's earliest concerts and has been a gathering place for Kingston's LGBTQ community. But now the Grad Club says it's facing a more than 300 per cent rent increase that could force its closure.,https://www.cbc.ca/news/canada/ottawa/kingston-s-storied-grad-club-facing-closure-as-queen-s-hikes-rent-1.7140115,CBC News,30,Kingston's storied Grad Club facing closure as Queen's hikes rent. It hosted some of The Tragically Hip's earliest concerts and has been a gathering place for Kingston's LGBTQ community. But now the Grad Club says it's facing a more than 300 per cent rent increase that could force its closure.
31,"Transcript: Reps. Raja Krishnamoorthi and Mike Gallagher on ""Face the Nation,"" March 17, 2024","The following is a transcript of an interview with Reps. Raja Krishnamoorthi, Democrat of Illinois, and Mike Gallagher, Republican of Wisconsin, that aired on March 17, 2024.",https://www.cbsnews.com/news/raja-krishnamoorthi-mike-gallagher-face-the-nation-transcript-03-17-2024/,CBS News,31,"Transcript: Reps. Raja Krishnamoorthi and Mike Gallagher on ""Face the Nation,"" March 17, 2024. The following is a transcript of an interview with Reps. Raja Krishnamoorthi, Democrat of Illinois, and Mike Gallagher, Republican of Wisconsin, that aired on March 17, 2024."
32,Best Of: Jenny Slate / Julio Torres,"Jenny Slate talks about childbirth and motherhood, the subjects of her new comedy special, Seasoned Professional. She'll do the voices of some of her animated characters, including Marcel from her Oscar-nominated film Marcel the Shell with Shoes On.Also, we h…",https://www.npr.org/2024/03/16/1197964003/slate-torres,NPR,32,"Best Of: Jenny Slate / Julio Torres. Jenny Slate talks about childbirth and motherhood, the subjects of her new comedy special, Seasoned Professional. She'll do the voices of some of her animated characters, including Marcel from her Oscar-nominated film Marcel the Shell with Shoes On.Also, we h…"
33,"Trans content creators say social media can be toxic, but won't let hate push them offline",Fae Johnstone and Lauren Sundstrom have large social media followings which also attract a lot of hate. But they are adamant that they won't be forced into the social media shadows by what they say are transphobic commenters and trolls.,https://www.cbc.ca/news/canada/anti-transgender-hate-online-1.7146085,CBC News,33,"Trans content creators say social media can be toxic, but won't let hate push them offline. Fae Johnstone and Lauren Sundstrom have large social media followings which also attract a lot of hate. But they are adamant that they won't be forced into the social media shadows by what they say are transphobic commenters and trolls."
34,Gallup poll: The number of American adults identifying as LGBTQ+ has more than doubled in the last 12 years,"A recent annual survey by Gallup reveals that the number of Americans who identify as members of the LGBTQ+ community has doubled since 2012, with nearly 30 percent of Gez Z women identifying as not heterosexual. The survey was conducted on more than 12,000 A…",https://www.naturalnews.com/2024-03-18-american-adults-identifying-lgbtq-more-than-doubled.html,Naturalnews.com,34,"Gallup poll: The number of American adults identifying as LGBTQ+ has more than doubled in the last 12 years. A recent annual survey by Gallup reveals that the number of Americans who identify as members of the LGBTQ+ community has doubled since 2012, with nearly 30 percent of Gez Z women identifying as not heterosexual. The survey was conducted on more than 12,000 A…"
35,EU candidate plans ‘LGBT propaganda’ bill,"Georgia needs to ban “LGBT propaganda,” the country’s top MP has said Read Full Article at RT.com",https://www.rt.com/russia/594458-gerogia-wants-lgbt-propaganda-ban/,RT,35,"EU candidate plans ‘LGBT propaganda’ bill. Georgia needs to ban “LGBT propaganda,” the country’s top MP has said Read Full Article at RT.com"
36,New video shows college student briefly speak with police on night he vanished,Newly released video shows missing college student Riley Strain briefly speak with a police officer on the night he vanished in Nashville.,https://abcnews.go.com/US/new-video-shows-missing-student-riley-strain-briefly/story?id=108242090,ABC News,36,New video shows college student briefly speak with police on night he vanished. Newly released video shows missing college student Riley Strain briefly speak with a police officer on the night he vanished in Nashville.
37,"GOP lawmakers call for Alabama space camp employee to be fired, simply for being transgender","An Alabama resident sparked a transphobic backlash against an employee at the U.S. Space and Rocket Center's Space Camp in Huntsville, leading to calls for the employee to be fired because she is transgender.",https://www.advocate.com/news/libs-of-tiktok-space-camp,Advocate.com,37,"GOP lawmakers call for Alabama space camp employee to be fired, simply for being transgender. An Alabama resident sparked a transphobic backlash against an employee at the U.S. Space and Rocket Center's Space Camp in Huntsville, leading to calls for the employee to be fired because she is transgender."
38,"'Will & Grace' star says roles should go to best actors, irrespective of sexuality",Eric McCormack weighs in on the debate about whether non-LGBTQ actors should be able to play gay.,https://www.advocate.com/arts-entertainment/eric-mccormack,Advocate.com,38,"'Will & Grace' star says roles should go to best actors, irrespective of sexuality. Eric McCormack weighs in on the debate about whether non-LGBTQ actors should be able to play gay."
39,Chasten Buttigieg takes on anti-trans bullies during Michigan State University lecture,"Chasten Buttigieg is not backing down as he continues to call attention to the anti-LGBTQ+ atmosphere of bullying that contributed to the death of Oklahoma teen Nex Benedict. In an evocative lecture at Michigan State University’s Department of Theatre, Buttig…",https://www.advocate.com/news/chasten-buttigieg-michigan-state-lecture,Advocate.com,39,"Chasten Buttigieg takes on anti-trans bullies during Michigan State University lecture. Chasten Buttigieg is not backing down as he continues to call attention to the anti-LGBTQ+ atmosphere of bullying that contributed to the death of Oklahoma teen Nex Benedict. In an evocative lecture at Michigan State University’s Department of Theatre, Buttig…"
40,California parents oust school board members who enacted anti-LGBTQ+ policy,Parents in Southern California have voted to remove two conservative school board members after they spearheaded a policy that forcibly outs transgender students to their guardians.,https://www.advocate.com/california-school-board-recall-transphobia,Advocate.com,40,California parents oust school board members who enacted anti-LGBTQ+ policy. Parents in Southern California have voted to remove two conservative school board members after they spearheaded a policy that forcibly outs transgender students to their guardians.
41,Former Olympian Caitlyn Jenner backs New York county's ban on transgender female athletes,Former Olympic gold medalist Caitlyn Jenner on Monday said she supported a local New York official’s order banning female sports teams with transgender...,https://www.yahoo.com/news/former-olympian-caitlyn-jenner-backs-193051923.html,Yahoo Entertainment,41,Former Olympian Caitlyn Jenner backs New York county's ban on transgender female athletes. Former Olympic gold medalist Caitlyn Jenner on Monday said she supported a local New York official’s order banning female sports teams with transgender...
42,Kentucky lawmakers seek to criminalize 'disruptive conduct' after LGBTQ+ protest,"After 19 protesters were arrested when the legislature passed a sweeping anti-LGBTQ+ bill, lawmakers are considering new punishments — which civil rights activists say could limit free speech.",https://www.advocate.com/politics/kentucky-considers-criminalizing-protests,Advocate.com,42,"Kentucky lawmakers seek to criminalize 'disruptive conduct' after LGBTQ+ protest. After 19 protesters were arrested when the legislature passed a sweeping anti-LGBTQ+ bill, lawmakers are considering new punishments — which civil rights activists say could limit free speech."
